objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,ccp_5.jpg,,,CCP - Reclaimed Area,,,Laying the foundation of the dream project in the reclaimed area of Manila Bay.,CCP; Manila Bay,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll002,ccp_6.jpg,,,Imelda Marcos at the CCP Construction Site,,,Mrs. Imelda Romualdez Marcos in the company of an unidentified lady inspecting the CCP construction site.,CCP; Imelda Marcos,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll003,ccp_7.jpg,,,CCP in early 1969,,1969,The Center by early 1969.,CCP,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll004,ccp_front_elevation.jpg,,,CCP Front Elevation,,1968-01-27,"Cultural Center of the Philippines (January 27, 1968)",CCP,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll005,ccp_left_side_elevation.jpg,,,CCP Left Side Elevation,,1968-01-27,"Cultural Center of the Philippines (January 27, 1968)",CCP,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll006,ccp_right_side_elevation.jpg,,,CCP Right Side Elevation,,1968-01-27,"Cultural Center of the Philippines (January 27, 1968)",CCP,Pasay City,14.55843699,120.9860203,,,image/jpeg,image,eng,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
